,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({32}),frozenset({10038480}),0.004919640758942711,0.006498217077232741,0.004909423436494233,0.9979231568016617,153.56876277617772,0.004877454542900621,478.371108477355,0.9984000285319777
1,frozenset({10038480}),frozenset({32}),0.006498217077232741,0.004919640758942711,0.004909423436494233,0.7555031446540881,153.56876277617772,0.004877454542900621,4.069910665448955,0.9999863876793001
2,frozenset({6833}),frozenset({10032109}),0.02995208075771663,0.050049554013875126,0.0031009573631134227,0.10353061572573768,2.068562203312264,0.0016018690794021343,1.059657432423259,0.5325225892809169
3,frozenset({10032109}),frozenset({6833}),0.050049554013875126,0.02995208075771663,0.0031009573631134227,0.06195774216596917,2.068562203312264,0.0016018690794021343,1.0341196370855985,0.5437888174737607
4,frozenset({11864}),frozenset({10027058}),0.02735177219457869,0.038703217434839024,0.003116283346786141,0.11393350765782592,2.9437735467250254,0.002057681760311178,1.0849036622794839,0.6788682056485361
5,frozenset({10027058}),frozenset({11864}),0.038703217434839024,0.02735177219457869,0.003116283346786141,0.08051742344244985,2.9437735467250254,0.002057681760311178,1.0578212710097432,0.6868846012107992
6,frozenset({11864}),frozenset({10032109}),0.02735177219457869,0.050049554013875126,0.003560736873294984,0.13018304071722075,2.6010829323500144,0.00219179287346721,1.0921268386965242,0.6328544361514532
7,frozenset({10032109}),frozenset({11864}),0.050049554013875126,0.02735177219457869,0.003560736873294984,0.07114422782484434,2.601082932350015,0.00219179287346721,1.0471466689900781,0.64797563744762
8,frozenset({997520}),frozenset({10004405}),0.025476893525282766,0.0394746252796992,0.003080522718216464,0.1209143773811911,3.063091201612351,0.0020748318930151324,1.0926414333326049,0.6911405243800587
9,frozenset({10004405}),frozenset({997520}),0.0394746252796992,0.025476893525282766,0.003080522718216464,0.0780380484017083,3.063091201612351,0.0020748318930151324,1.0570101128200644,0.701212511981319
10,frozenset({10027058}),frozenset({10004405}),0.038703217434839024,0.0394746252796992,0.004051168350821983,0.1046726504751848,2.6516439290689173,0.002523373345462992,1.072820321226743,0.6479533377863019
11,frozenset({10004405}),frozenset({10027058}),0.0394746252796992,0.038703217434839024,0.004051168350821983,0.10262715154652517,2.6516439290689173,0.002523373345462992,1.0712345311336888,0.6484737158013203
12,frozenset({10032109}),frozenset({10004405}),0.050049554013875126,0.0394746252796992,0.004521165183452024,0.09033377564560578,2.2884010932476704,0.0025454777933382384,1.055909683139002,0.5926768815445507
13,frozenset({10004405}),frozenset({10032109}),0.0394746252796992,0.050049554013875126,0.004521165183452024,0.11453345412191018,2.288401093247671,0.0025454777933382384,1.0728247728931288,0.5861517902250712
14,frozenset({10004405}),frozenset({10099287}),0.0394746252796992,0.02445005261921061,0.0035198675835010677,0.08916785298304646,3.6469391036396597,0.002554710918288801,1.0710534872707245,0.7556254833307424
15,frozenset({10099287}),frozenset({10004405}),0.02445005261921061,0.0394746252796992,0.0035198675835010677,0.14396155453405768,3.64693910363966,0.002554710918288801,1.1220586876766803,0.74398799617911
16,frozenset({100020496}),frozenset({10004405}),0.016582714333881664,0.0394746252796992,0.003637366791658578,0.21934688847812692,5.556655368453401,0.002982770357208303,1.2304125360466047,0.8338633445206479
17,frozenset({10004405}),frozenset({100020496}),0.0394746252796992,0.016582714333881664,0.003637366791658578,0.09214442862689272,5.556655368453401,0.002982770357208303,1.0832309859361506,0.8537365575831418
18,frozenset({10027058}),frozenset({10021373}),0.038703217434839024,0.010523842121933526,0.0032491085386163704,0.0839493136219641,7.977059390410187,0.0028418019887212595,1.080154376381013,0.9098548315236157
19,frozenset({10021373}),frozenset({10027058}),0.010523842121933526,0.038703217434839024,0.0032491085386163704,0.3087378640776699,7.9770593904101865,0.0028418019887212595,1.3906400084861177,0.883942998708212
20,frozenset({10032109}),frozenset({10021373}),0.050049554013875126,0.010523842121933526,0.0037395400161433696,0.07471675002551802,7.099759684706335,0.0032128264114281635,1.0693764940685513,0.9044157680346397
21,frozenset({10021373}),frozenset({10032109}),0.010523842121933526,0.050049554013875126,0.0037395400161433696,0.3553398058252427,7.099759684706334,0.0032128264114281635,1.4735677098881155,0.8682878868388693
22,frozenset({10024602}),frozenset({10029710}),0.013629908146271187,0.005629744669112012,0.0054202895589181895,0.3976761619190405,70.63840108076634,0.005343556656191233,1.6508897580726878,0.9994660242842673
23,frozenset({10029710}),frozenset({10024602}),0.005629744669112012,0.013629908146271187,0.0054202895589181895,0.9627949183303085,70.63840108076633,0.005343556656191233,26.51170344445874,0.9914248630153397
24,frozenset({10034529}),frozenset({10024602}),0.0035351935671737865,0.013629908146271187,0.003433020342688995,0.9710982658959537,71.24760163270966,0.0033848359790891276,34.12840517813897,0.9894623808693759
25,frozenset({10024602}),frozenset({10034529}),0.013629908146271187,0.0035351935671737865,0.003433020342688995,0.2518740629685158,71.24760163270966,0.0033848359790891276,1.3319479476767437,0.9995887425708534
26,frozenset({10027058}),frozenset({10024613}),0.038703217434839024,0.019811388227601076,0.0031265006692346204,0.08078141499472018,4.07752420308316,0.002359736202975766,1.0663281049379227,0.7851406095378224
27,frozenset({10024613}),frozenset({10027058}),0.019811388227601076,0.038703217434839024,0.0031265006692346204,0.15781330582774625,4.0775242030831595,0.002359736202975766,1.1414295538235437,0.7700080706357081
28,frozenset({10032109}),frozenset({10024613}),0.050049554013875126,0.019811388227601076,0.0034279116814647554,0.06849035419005818,3.457120389707872,0.0024363605362775855,1.0522581448097954,0.7481884184724175
