ID,Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor,Período Ocorrido
51,7,2000-08-16,22h00,Quarta-feira,Cruzeiro,São paulo,-,Mineirão,2,2,MG,SP,-,noite
52,7,2000-08-16,22h00,Quarta-feira,Santa cruz,Vasco,-,Arruda,1,1,PE,RJ,-,noite
53,7,2000-08-16,20h30,Quarta-feira,Gama,Bahia,Bahia,Mané Garrincha,0,1,DF,BA,BA,noite
54,7,2000-08-16,20h30,Quarta-feira,Palmeiras,Corinthians,Corinthians,Morumbi,0,1,SP,SP,SP,noite
55,7,2000-08-16,20h30,Quarta-feira,Goiás,Botafogo-rj,Goiás,Serra Dourada,3,2,GO,RJ,GO,noite
56,7,2000-08-16,20h30,Quarta-feira,Santos,América-mg,Santos,Vila Belmiro,3,0,SP,MG,SP,noite
57,7,2000-08-16,20h30,Quarta-feira,Vitória,Portuguesa,Vitória,Barradão,2,0,ES,SP,ES,noite
58,7,2000-08-17,20h30,Quinta-feira,Flamengo,Coritiba,Flamengo,Maracanã,2,1,RJ,PR,RJ,noite
59,8,2000-08-19,15h45,Sábado,América-mg,Fluminense,-,Independência,1,1,MG,RJ,-,tarde
60,8,2000-08-19,18h00,Sábado,Gama,Goiás,-,Mané Garrincha,1,1,DF,GO,-,tarde
61,8,2000-08-19,15h45,Sábado,Atlético-mg,Santos,Atlético-mg,Mineirão,1,0,MG,SP,MG,tarde
62,8,2000-08-19,16h00,Sábado,Guarani,Cruzeiro,Cruzeiro,Brinco de Ouro,0,1,SP,MG,MG,tarde
63,8,2000-08-19,18h00,Sábado,Palmeiras,Internacional,Internacional,Morumbi,1,4,SP,RS,RS,tarde
64,8,2000-08-20,17h00,Domingo,São paulo,Bahia,-,Morumbi,1,1,SP,BA,-,tarde
65,8,2000-08-20,18h30,Domingo,Botafogo-rj,Corinthians,-,Maracanã,1,1,RJ,SP,-,tarde
66,8,2000-08-20,18h30,Domingo,Santa cruz,Flamengo,-,Arruda,2,2,PE,RJ,-,tarde
67,8,2000-08-20,16h00,Domingo,Juventude,Sport,-,Alfredo Jaconi,1,1,RS,PE,-,tarde
68,8,2000-08-20,17h00,Domingo,Athlético-pr,Coritiba,Coritiba,Joaquim Américo,1,3,PR,PR,PR,tarde
